"","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","sqft_living15","sqft_lot15","log_price","popular","good_condition","high_grade"
"30",2015-03-02,719000,4,2.5,2570,7173,2,0,0,3,8,2570,0,2005,0,"98052",2630,6026,13.4856166367032,0,1,1
"31",2014-11-10,580500,3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,0,"98027",2580,3980,13.2716450801201,0,1,1
"32",2014-12-01,280000,2,1.5,1190,1265,3,0,0,3,7,1190,0,2005,0,"98133",1390,1756,12.5425448821514,0,1,1
"33",2014-06-24,687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,"98117",1460,5000,13.4408171085229,0,1,1
"34",2014-11-10,535000,3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,0,"98117",1570,5080,13.1900220258781,0,1,1
"35",2014-12-03,322500,4,2.75,2060,6659,1,0,0,3,7,1280,780,1981,0,"98058",2020,8720,12.683858415218,0,1,1
"36",2014-06-13,696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,"98115",1590,3264,13.4531049393166,0,1,1
"37",2014-05-28,550000,4,1,1660,34848,1,0,0,1,5,930,730,1933,0,"98052",2160,11467,13.2176735572087,0,0,0
"38",2014-12-30,640000,4,2,2360,6000,2,0,0,4,8,2360,0,1904,0,"98107",1730,4700,13.3692234553359,0,1,1
"39",2015-02-13,240000,4,1,1220,8075,1,0,0,2,7,890,330,1969,0,"98001",1290,7800,12.3883942023241,0,0,1
"40",2014-06-20,605000,4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,0,"98056",2620,11884,13.312983737013,0,1,1
"41",2014-07-15,625000,4,2.5,2570,5520,2,0,0,3,9,2570,0,2000,0,"98074",2470,5669,13.3455069287185,0,1,1
"42",2014-08-11,775000,4,2.25,4220,24186,1,0,0,3,8,2600,1620,1984,0,"98166",2410,30617,13.5606183083355,0,1,1
"43",2014-07-07,861990,5,2.75,3595,5639,2,0,0,3,9,3595,0,2014,0,"98053",3625,5639,13.6669989486505,0,1,1
"44",2014-10-28,685000,3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,"98119",1580,2640,13.4371741172444,0,1,1
"45",2014-07-29,309000,3,1,1280,9656,1,0,0,4,6,920,360,1959,0,"98058",1340,8808,12.6410965558799,0,1,0
"46",2014-07-18,488000,3,2.5,3160,13603,2,0,0,3,8,3160,0,2003,0,"98019",3050,9232,13.0980706848353,0,1,1
"47",2015-03-25,210490,3,1,990,8528,1,0,0,3,6,990,0,1966,0,"98023",1228,8840,12.2571934250379,0,1,0
"48",2014-07-16,785000,4,2.5,2290,13416,2,0,0,4,9,2290,0,1981,0,"98007",2680,13685,13.5734389967645,0,1,1
"49",2015-04-28,450000,3,1.75,1250,5963,1,0,0,4,7,1250,0,1953,0,"98115",970,5100,13.0170028617465,0,1,1
"50",2015-03-11,1350000,3,2.5,2753,65005,1,1,2,5,9,2165,588,1953,0,"98070",2680,72513,14.1156151504146,0,1,1
"51",2014-09-16,228000,3,1,1190,9199,1,0,0,3,7,1190,0,1955,0,"98148",1190,9364,12.3371009079366,0,1,1
"52",2015-02-17,345000,5,2.5,3150,9134,1,0,0,4,8,1640,1510,1966,0,"98056",1990,9133,12.7512996960135,0,1,1
"53",2014-12-31,6e+05,3,1.75,1410,4080,1,0,0,4,7,1000,410,1950,0,"98117",1410,4080,13.3046849341983,0,1,1
"54",2015-02-05,585000,2,1.75,1980,8550,1,0,0,3,7,990,990,1981,0,"98117",1480,6738,13.279367126214,0,1,1
"55",2015-03-03,920000,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,"98105",2730,6000,13.7321289490252,0,1,1
"56",2014-05-12,885000,4,2.5,2830,5000,2,0,0,3,9,2830,0,1995,0,"98105",1950,5000,13.6933429239901,0,1,1
"57",2014-08-19,292500,4,2.5,2250,4495,2,0,0,3,7,2250,0,2008,0,"98042",2250,4500,12.586219945654,0,1,1
"58",2015-04-07,301000,3,2.5,2420,4750,2,0,0,3,8,2420,0,2003,0,"98042",2690,4750,12.614865543731,0,1,1
"59",2014-08-27,951000,5,3.25,3250,14342,2,0,4,4,8,3250,0,1968,0,"98008",2960,11044,13.7652693415275,1,1,1
"60",2015-02-23,430000,4,3,1850,9976,2,0,0,3,8,1850,0,1991,0,"98059",2270,8542,12.9715404876697,0,1,1
"61",2014-12-10,650000,3,2.25,2150,21235,1,0,3,4,8,1590,560,1959,0,"98166",2570,18900,13.3847276418718,1,1,1
"62",2014-08-28,289000,3,1.75,1260,8400,1,0,0,3,7,1260,0,1954,0,"98148",1290,8750,12.5741819670946,0,1,1
"63",2014-10-21,505000,3,1.75,2519,8690,2,0,0,5,8,2519,0,1973,0,"98166",2500,9500,13.1323137082575,0,1,1
"64",2014-12-07,549000,3,1.75,1540,1044,3,0,0,3,8,1540,0,2014,0,"98115",1580,3090,13.2158537204917,0,1,1
"65",2014-06-03,425000,3,2.25,1660,6000,1,0,0,3,7,1110,550,1979,0,"98122",1440,4080,12.9598444479066,0,1,1
"66",2014-11-20,317625,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,"98144",1440,4000,12.6686267206225,0,1,1
"67",2014-09-09,975000,4,2.5,2720,11049,2,0,0,3,10,2720,0,1989,0,"98004",2750,11049,13.79019274998,0,1,1
"68",2014-10-09,287000,4,2.5,2240,4648,2,0,0,3,7,2240,0,2005,0,"98001",2221,4557,12.5672374947418,0,1,1
"69",2014-08-25,204000,3,1,1000,12070,1,0,0,4,7,1000,0,1968,0,"98042",1010,12635,12.2258752728264,0,1,1
"70",2014-06-12,1330000,5,2.25,3200,20158,1,0,0,3,8,1600,1600,1965,0,"98004",3390,20158,14.1006895001979,0,1,1
"71",2014-09-12,1040000,5,3.25,4770,50094,1,0,0,4,11,3070,1700,1973,0,"98005",3530,38917,13.8547312711176,0,1,1
"72",2015-01-05,325000,3,2,1260,5612,1,0,0,4,7,1260,0,1972,0,"98034",1640,4745,12.6915804613119,0,1,1
"73",2014-06-10,571000,4,2,2750,7807,1.5,0,0,5,7,2250,500,1916,0,"98125",1510,7807,13.2551444886381,0,1,1
"74",2014-07-10,360000,4,2.5,2380,5000,2,0,0,3,8,2380,0,2005,0,"98038",2420,5000,12.7938593104323,0,1,1
"75",2015-03-16,349000,3,1.75,1790,50529,1,0,0,5,7,1090,700,1965,0,"98042",1940,50529,12.7628272011846,0,1,1
"76",2014-11-05,832500,4,4,3430,35102,2,0,0,4,10,2390,1040,1986,0,"98075",3240,35020,13.6321885008367,0,1,1
"77",2014-10-13,380000,4,1.75,1760,7300,1,0,0,3,7,880,880,1956,0,"98008",1680,7500,12.8479265317026,0,1,1
"78",2015-04-20,480000,3,1,1040,5060,1,0,0,3,7,1040,0,1941,0,"98116",890,5060,13.0815413828841,0,1,1
"79",2014-06-09,410000,3,1,1410,5060,1,0,0,4,7,910,500,1956,0,"98133",1130,5693,12.9239124386805,0,1,1
"80",2015-03-23,720000,4,2.5,3450,39683,2,0,0,3,10,3450,0,2002,0,"98010",3350,39750,13.4870064909922,0,1,1
"81",2014-12-02,390000,3,2.5,2350,5100,2,0,0,3,8,2350,0,2003,0,"98038",2350,5363,12.8739020181058,0,1,1
"82",2014-12-22,360000,4,2.5,1900,5889,2,0,0,3,7,1900,0,1992,0,"98038",1870,6405,12.7938593104323,0,1,1
"83",2014-10-28,355000,2,1,2020,6720,1,0,0,3,7,1010,1010,1948,0,"98118",1720,6720,12.7798730684576,0,1,1
"84",2015-01-28,356000,3,1.5,1680,8712,1,0,0,3,8,1680,0,1964,0,"98059",1850,8797,12.7826860098342,0,1,1
"85",2014-06-02,315000,3,1,960,6634,1,0,0,3,6,960,0,1952,0,"98125",1570,7203,12.6603279178078,0,1,0
"86",2014-11-14,940000,3,1.5,2140,3600,2,0,0,3,9,1900,240,1925,0,"98119",2020,4800,13.7536351542462,0,1,1
"87",2014-11-03,305000,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,"98092",1590,8165,12.6280670555895,0,1,1
"88",2014-06-18,461000,3,3.25,2770,6278,2,0,0,3,9,1980,790,2006,0,"98056",1900,7349,13.0411533219788,0,1,1
"89",2014-05-19,215000,2,2.25,1610,2040,2,0,0,4,7,1610,0,1979,0,"98056",1950,2025,12.2783933071098,0,1,1
"90",2014-09-04,335000,2,1.75,1030,1066,2,0,0,3,7,765,265,2006,0,"98136",1030,1106,12.7218858108072,0,1,1
"91",2014-05-22,243500,4,2.5,1980,7403,2,0,0,3,7,1980,0,1988,0,"98023",1980,7510,12.4028722215048,0,1,1
"92",2015-03-11,1100000,5,2.75,3520,6353,2,0,0,4,10,3520,0,2001,0,"98199",2520,6250,13.9108207377686,0,1,1
"93",2015-02-26,153000,3,1,1200,10500,1,0,0,3,7,1200,0,1962,0,"98023",1350,10500,11.9381932003746,0,1,1
"94",2014-07-25,430000,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,0,"98117",1570,4500,12.9715404876697,0,1,1
"95",2014-12-23,7e+05,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,0,"98117",1570,4500,13.4588356140255,0,1,1
"96",2014-09-08,905000,4,2.5,3300,10250,1,0,0,3,7,2390,910,1946,1991,"98040",1950,6045,13.7156902226821,0,1,1
"97",2015-03-30,247500,3,1.75,1960,15681,1,0,0,3,7,1960,0,1967,0,"98032",1750,15616,12.4191658609909,0,1,1
"98",2014-09-12,199000,4,1.5,1160,6400,1,0,0,4,7,1160,0,1975,0,"98023",1160,6400,12.2010601037066,0,1,1
"99",2014-07-11,314000,3,1.75,1810,41800,1,0,0,5,7,1210,600,1980,0,"98038",1650,135036,12.6571482648904,0,1,1
"100",2014-05-16,437500,3,2.5,2320,36847,2,0,2,3,9,2320,0,1992,0,"98045",2550,35065,12.9888319847798,0,1,1
"101",2014-06-11,850830,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,0,"98102",2200,4500,13.6539676226175,0,1,1
"102",2014-10-27,555000,3,2,1980,3478,1.5,0,0,4,7,1440,540,1929,0,"98117",1610,3478,13.2267233927286,0,1,1
"103",2014-12-12,699950,3,2.25,2190,107593,2,0,0,4,8,2190,0,1983,0,"98077",2570,47777,13.458764182903,0,1,1
"104",2014-10-07,1090000,3,2.5,2920,8113,2,0,0,3,8,2920,0,1950,2010,"98004",2370,8113,13.9016882542053,0,1,1
"105",2014-09-24,290000,3,1,1210,33919,1,0,0,3,7,1210,0,1954,0,"98058",1640,14910,12.5776362019627,0,1,1
"106",2015-04-02,375000,3,2.5,2340,10005,1,0,0,4,8,1460,880,1978,0,"98058",2250,8162,12.8346813049525,0,1,1
"107",2014-05-23,460000,3,1,1670,4005,1.5,0,0,4,7,1170,500,1939,0,"98117",1240,4005,13.0389817684653,0,1,1
"108",2014-07-23,188500,2,1.75,1240,2493,1,0,0,4,8,1240,0,1985,0,"98198",1270,4966,12.1468532858702,0,1,1
"109",2015-03-05,680000,4,2.5,3140,28037,2,0,0,4,10,3140,0,1991,0,"98077",2990,35001,13.4298480771523,0,1,1
"110",2014-08-27,470000,5,1.75,2030,12342,2,0,0,4,7,2030,0,1942,0,"98052",2500,9433,13.0604879736862,0,1,1
"111",2014-07-25,597750,4,2.5,2310,9624,2,0,0,3,8,2310,0,1984,0,"98027",1940,9636,13.3009278853206,0,1,1
"112",2015-03-04,570000,3,1.75,1260,3328,1,0,0,5,6,700,560,1905,0,"98103",1380,3536,13.2533916398107,0,1,0
"113",2014-09-16,272500,3,1.75,1540,12600,1,0,0,4,7,1160,380,1980,0,"98038",1540,11656,12.5153938930854,0,1,1
"114",2014-11-24,329950,3,1.75,2080,5969,1,0,2,3,7,1080,1000,1971,0,"98108",2090,5500,12.7066964068116,0,1,1
"115",2014-10-28,480000,4,2.5,3230,16171,2,0,3,3,9,2520,710,2001,0,"98001",2640,8517,13.0815413828841,1,1,1
"116",2014-11-21,740500,3,3.5,4380,6350,2,0,0,3,8,2780,1600,1900,1999,"98117",1830,6350,13.51508091269,0,1,1
"117",2014-06-26,518500,3,3.5,1590,1102,3,0,0,3,8,1590,0,2010,0,"98103",1620,3166,13.1586953066517,0,1,1
"118",2014-06-23,205425,2,1,880,6780,1,0,0,4,6,880,0,1945,0,"98178",1190,6780,12.2328362827994,0,1,0
"119",2015-01-08,171800,4,2,1570,9600,1,0,0,3,6,1570,0,1950,0,"98168",1880,9000,12.0540862885323,0,1,0
"120",2015-05-11,535000,4,1,1610,2982,1.5,0,0,4,7,1610,0,1925,0,"98144",1610,4040,13.1900220258781,0,1,1
"121",2015-01-02,660000,3,2.5,2400,6474,1,0,2,3,8,1560,840,1964,0,"98177",2340,10856,13.3999951140026,0,1,1
"122",2014-11-19,391500,3,2,1450,9132,1,0,0,3,7,1450,0,1987,0,"98034",1580,9104,12.877740794413,0,1,1
"123",2015-04-06,395000,2,1,770,6000,1,0,0,3,6,770,0,1953,0,"98117",1710,6000,12.8866410438833,0,1,0
"124",2014-11-04,445000,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,0,"98118",1850,4400,13.0058295611484,0,1,1
"125",2014-06-18,770000,3,2.25,2910,10204,2,0,0,3,9,2910,0,1990,0,"98052",2700,13992,13.5541457938299,0,1,1
"126",2015-03-02,1450000,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,1992,"98004",3060,11275,14.1870741143968,0,1,1
"127",2014-07-17,445000,3,2.25,2100,8201,1,0,2,3,8,1620,480,1967,0,"98178",2660,8712,13.0058295611484,0,1,1
"128",2014-07-17,260000,4,2.25,2160,8811,1,0,0,3,8,1360,800,1978,0,"98023",2090,8400,12.4684369099977,0,1,1
"129",2014-06-13,822500,5,3.5,2320,4960,2,0,0,5,7,1720,600,1926,0,"98103",1700,4960,13.6201037616217,0,1,1
"130",2015-04-06,430000,4,2.5,2070,4310,2,0,0,3,7,2070,0,2004,0,"98065",1970,3748,12.9715404876697,0,1,1
"131",2015-01-05,212000,3,1.75,1060,7875,1,0,0,4,7,1060,0,1986,0,"98092",1420,7680,12.2643415536542,0,1,1
"132",2015-04-28,660500,4,2.25,2010,9603,1,0,0,3,8,1440,570,1986,0,"98027",2060,9793,13.4007524029445,0,1,1
"133",2014-06-12,784000,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,1989,0,"98052",2480,88500,13.5721642993325,0,1,1
"134",2014-05-12,453246,3,2.5,2010,2287,2,0,0,3,8,1390,620,2014,0,"98029",1690,1662,13.0241903034265,0,1,1
"135",2015-01-26,675000,4,3.5,2140,2278,3,0,0,3,9,2140,0,2005,0,"98107",1540,2285,13.4224679698547,0,1,1
"136",2014-08-13,199000,3,1.75,1320,17390,1,0,0,4,7,1320,0,1956,0,"98003",1550,19265,12.2010601037066,0,1,1
"137",2014-08-05,220000,4,1.75,2020,7840,1,0,0,3,7,1010,1010,1968,0,"98003",1750,8140,12.3013828253345,0,1,1
"138",2014-05-29,452000,4,2.25,2590,10002,1,0,0,4,8,1340,1250,1968,0,"98028",1550,10436,13.0214374588144,0,1,1
"139",2014-07-07,382500,2,1,1190,4440,1,0,0,3,6,1190,0,1981,0,"98125",1060,5715,12.8544839322487,0,1,0
"140",2014-05-07,519950,3,2.25,1170,1249,3,0,0,3,8,1170,0,2014,0,"98107",1350,1310,13.1614879320884,0,1,1
"141",2014-06-27,665000,2,1,1110,3200,1,0,0,3,7,1110,0,1925,0,"98119",1170,3600,13.407542319638,0,1,1
"142",2014-07-08,527700,5,2.5,2820,9375,1,0,0,4,8,1550,1270,1968,0,"98006",2820,9375,13.1762832193938,0,1,1
"143",2015-05-08,205000,3,1,1610,8579,1,0,0,4,7,1010,600,1962,0,"98058",1610,8579,12.2307652581205,0,1,1
"144",2015-04-15,420000,3,1,1060,8097,1,0,0,4,7,940,120,1923,0,"98133",1560,7940,12.9480099902596,0,1,1
"145",2015-02-27,5e+05,4,2.25,2030,8517,1,0,0,4,8,1380,650,1961,0,"98006",2230,8824,13.1223633774043,0,1,1
"146",2014-12-03,921500,4,2.5,3670,315374,2,0,0,4,9,3670,0,1994,0,"98077",2840,87991,13.733758056092,0,1,1
"147",2014-06-25,890000,4,1,2550,4000,2,0,0,3,8,2370,180,1905,0,"98109",2200,4000,13.6989767417083,0,1,1
"148",2014-08-06,430000,2,2.5,2420,60984,2,0,0,3,7,2420,0,2007,0,"98027",1940,193842,12.9715404876697,0,1,1
"149",2014-10-30,258000,5,2,2260,12500,1,0,0,4,8,1130,1130,1960,0,"98032",1360,18000,12.4607148639038,0,1,1
"150",2014-11-04,511000,3,1,1430,3455,1,0,0,3,7,980,450,1947,0,"98103",1450,4599,13.1441248691858,0,1,1
"151",2014-08-20,532170,3,2,1360,3090,2,0,0,3,8,1360,0,1990,0,"98103",1500,3090,13.1847182661511,0,1,1
"152",2015-04-09,560000,3,1,1110,5000,1.5,0,0,3,7,1110,0,1947,0,"98107",1420,5000,13.2356920627113,0,1,1
"153",2015-03-31,282950,3,1,1250,8200,1,0,0,4,7,1250,0,1954,0,"98003",1680,8633,12.5530254825707,0,1,1
"154",2015-04-01,2250000,4,3.25,5180,19850,2,0,3,3,12,3540,1640,2006,0,"98006",3160,9750,14.6264407741806,1,1,1
"155",2014-05-16,350000,1,1,700,5100,1,0,0,3,7,700,0,1942,0,"98115",1010,5100,12.7656884334656,0,1,1
"156",2014-07-28,215000,3,1,1180,7669,1,0,0,4,7,1180,0,1967,0,"98058",1190,7669,12.2783933071098,0,1,1
"157",2014-11-20,650000,5,3.5,3960,25245,2,0,0,3,9,2500,1460,1996,0,"98056",2640,13675,13.3847276418718,0,1,1
"158",2014-08-07,320000,4,2.75,2640,7500,1,0,0,3,8,1620,1020,1967,0,"98023",1980,7875,12.6760762747759,0,1,1
"159",2014-11-13,247000,3,2,1270,7198,1.5,0,0,3,7,1270,0,1916,2013,"98022",1160,7198,12.4171436156101,0,1,1
"160",2014-10-03,320000,4,1.75,1760,11180,1,0,0,4,8,1760,0,1968,0,"98059",1730,11180,12.6760762747759,0,1,1
"161",2014-05-07,255000,5,2.25,2060,8632,1,0,0,3,7,1030,1030,1962,0,"98146",1010,11680,12.4490188241406,0,1,1
"162",2015-03-09,438000,3,1.75,1780,9660,1,0,0,3,7,1780,0,1962,0,"98034",1200,9660,12.9899741893586,0,1,1
"163",2015-03-04,9e+05,3,2.5,3400,16603,2,0,0,3,10,3400,0,2000,0,"98075",3400,12601,13.7101500423064,0,1,1
"164",2014-06-20,441000,3,2.75,1910,7280,1,0,0,3,7,1160,750,1979,0,"98034",1710,8152,12.996800154429,0,1,1
"165",2014-08-12,420000,3,2,2020,38332,1,0,0,4,7,1010,1010,1975,0,"98027",2110,36590,12.9480099902596,0,1,1
"166",2014-12-08,370000,3,1.75,1580,7000,1,0,0,3,7,1180,400,1976,0,"98034",1640,7500,12.8212582846204,0,1,1
"167",2015-02-19,269950,2,1.75,1340,7250,1,0,0,5,5,700,640,1949,0,"98198",1830,9750,12.5059920356464,0,1,0
"168",2015-03-24,807100,4,2.5,2680,4499,2,0,0,3,9,2680,0,1999,0,"98006",2920,4500,13.6012028553125,0,1,1
"169",2014-06-05,653000,3,2.5,2680,9750,1,0,0,4,8,1610,1070,1979,0,"98034",2480,8750,13.3893324082586,0,1,1
"170",2014-06-11,371500,3,2,1370,8336,1,0,0,5,7,1370,0,1964,0,"98133",1770,7288,12.82530414314,0,1,1
"171",2015-03-16,284000,3,1.75,1560,21000,1,0,0,3,7,1560,0,1954,0,"98166",1070,7920,12.5567295171433,0,1,1
"172",2015-01-02,272000,3,1.75,2160,7140,1,0,0,4,7,1670,490,1978,0,"98023",1930,7350,12.5135573452781,0,1,1
"173",2014-05-02,313000,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,0,"98133",1480,7940,12.6539584695223,0,1,1
"174",2015-01-16,917500,4,2.5,3880,35003,2,0,0,3,10,2570,1310,1984,0,"98033",3740,35230,13.7294078589109,0,1,1
"175",2014-09-29,673000,4,2.25,2590,8190,2,0,0,4,8,2590,0,1980,0,"98006",2260,8335,13.4195006086269,0,1,1
"176",2015-02-10,425000,3,2.5,1120,1100,2,0,0,3,8,820,300,2008,0,"98122",1590,1795,12.9598444479066,0,1,1
"177",2014-07-09,399950,5,2.75,1970,5400,1,0,0,3,7,1320,650,1986,0,"98144",1280,2150,12.899094818277,0,1,1
"178",2014-05-30,385000,3,1,1220,4800,1,0,0,3,6,1220,0,1901,0,"98122",1200,4800,12.8609986132699,0,1,0
"179",2014-11-17,269950,3,1.5,1950,7560,1,0,2,4,7,1320,630,1975,0,"98022",1950,8941,12.5059920356464,0,1,1
"180",2015-01-07,330000,2,1,1350,8220,1,0,0,3,7,1060,290,1949,0,"98177",1540,8280,12.7068479334427,0,1,1
"181",2014-07-25,260000,3,2.5,1670,5797,2,0,0,3,7,1670,0,1988,0,"98030",1670,6183,12.4684369099977,0,1,1
"182",2015-04-14,470000,4,3,2380,5125,1.5,0,0,4,7,1680,700,1925,0,"98126",1410,5375,13.0604879736862,0,1,1
"183",2014-06-13,589000,4,3,2440,9600,2,0,0,5,7,2440,0,1961,0,"98034",2290,9600,13.2861814626337,0,1,1
"184",2014-07-23,163500,2,1.5,1050,3419,2,0,0,3,7,1050,0,1996,0,"98038",1050,3417,12.0045682693194,0,1,1
"185",2014-09-05,835000,4,2.75,3130,13412,2,0,0,3,9,2140,990,1993,0,"98052",2260,9984,13.635187003833,0,1,1
"186",2014-11-21,1100000,5,3,4090,12850,1,0,2,4,10,2090,2000,1986,0,"98033",2540,10270,13.9108207377686,0,1,1
"187",2015-04-15,269000,4,1.75,1490,10000,1,0,0,4,8,1100,390,1969,0,"98023",2190,8910,12.502466658584,0,1,1
"188",2014-05-05,560000,3,2.5,1900,8744,2,0,0,3,8,1900,0,1987,0,"98074",2030,8744,13.2356920627113,0,1,1
"189",2015-04-18,615000,4,1,1330,2400,1.5,0,0,4,6,1330,0,1901,0,"98103",1330,4400,13.3293775467887,0,1,0
"190",2014-12-05,585188,3,2.25,2230,10026,1,0,0,3,8,1430,800,1975,0,"98052",2230,9340,13.2796884421079,0,1,1
"191",2014-08-18,305000,3,1.75,1650,9480,1,0,0,3,7,1220,430,1977,0,"98034",1540,8400,12.6280670555895,0,1,1
"192",2014-11-05,166950,3,1,1190,8820,1,0,0,3,6,1190,0,1959,0,"98058",1230,7980,12.0254496453718,0,1,0
"193",2014-09-12,799000,3,2.5,2140,9897,1,0,0,4,8,2140,0,1959,0,"98040",2680,10083,13.5911162247484,0,1,1
"194",2014-06-25,4e+05,3,2.5,2180,7508,1,0,0,4,7,1420,760,1962,0,"98133",1900,7818,12.8992198260901,0,1,1
"195",2014-12-01,230000,3,1,1060,10228,1,0,0,3,7,1060,0,1948,0,"98155",1570,10228,12.3458345879053,0,1,1
"196",2014-05-15,256883,3,2.5,1690,5025,2,0,0,3,8,1690,0,2003,0,"98023",2550,5001,12.4563760073,0,1,1
"197",2014-11-11,423000,4,2,1970,6480,1.5,0,0,5,7,1130,840,1920,0,"98108",1500,6480,12.9551274580284,0,1,1
"198",2014-07-23,465000,3,2.5,2150,4084,2,0,0,3,8,2150,0,2007,0,"98126",1750,2385,13.0497926845695,0,1,1
"199",2015-01-13,440000,3,2.5,1910,66211,2,0,0,3,7,1910,0,1997,0,"98024",2330,67268,12.9945300058944,0,1,1
"200",2014-10-14,385000,3,1.75,1350,155073,1,0,0,4,7,1350,0,1969,0,"98038",1560,50965,12.8609986132699,0,1,1
